Solution value: 21618053
Remaining budget: 53
Execution time: 253.81698203086853s

(26, 104)
(183, 133)
(141, 73)
(32, 73)
(63, 63)
(102, 68)
(37, 50)
(81, 42)
(119, 122)
(79, 59)
(68, 48)
(128, 150)
(32, 125)
(64, 64)
(196, 63)
(55, 84)
(205, 117)
(67, 143)
(61, 70)
(49, 117)
(158, 143)
(32, 80)
(74, 141)
(36, 103)
(107, 135)
(121, 94)
(73, 44)
(171, 69)
(171, 112)
(102, 69)
(190, 88)
(157, 109)
(131, 56)
(194, 40)
(149, 126)
(117, 124)
(81, 149)
(132, 106)
(183, 88)
(25, 90)
(62, 66)
(177, 88)
(199, 108)
(215, 65)
(215, 62)
(207, 132)
(28, 96)
(27, 126)
(93, 98)
(110, 52)
(156, 56)
(175, 107)
(195, 130)
(201, 81)
(114, 60)
(182, 28)
(88, 59)
(202, 64)
(133, 48)
(157, 153)
(147, 143)
(102, 77)
(26, 98)
(89, 42)
(44, 109)
(48, 81)
(112, 84)
(82, 66)
(103, 116)
(46, 63)
(179, 101)
(38, 86)
(106, 109)
(210, 115)
(26, 45)
(157, 137)
(64, 152)
(102, 124)
(151, 85)
(154, 52)
(69, 79)
(118, 140)
(192, 130)
(121, 38)
(121, 49)
(100, 27)
(142, 85)
(164, 111)
(67, 107)
(115, 78)
(101, 127)
(179, 61)
(194, 68)
(203, 135)
(86, 95)
(92, 115)
(67, 55)
(75, 60)
(194, 70)
(195, 97)
(94, 44)
(61, 151)
(61, 152)
(205, 75)
(92, 31)
(93, 83)
(138, 68)
(160, 81)
(123, 39)
(99, 54)
(66, 28)
(91, 135)
(103, 123)
(202, 50)
(121, 129)
(160, 105)
(86, 39)
(46, 136)
(31, 113)
(30, 87)
(106, 33)
(90, 60)
(161, 103)
(86, 76)
(178, 139)
(148, 92)
(62, 49)
(198, 45)
(179, 66)
(106, 125)
(111, 69)
(116, 134)
(185, 31)
(82, 108)
(58, 69)
(182, 77)
(187, 93)
(67, 146)
(133, 36)
(201, 116)
(191, 52)
(186, 52)
(180, 69)
(64, 117)
(159, 150)
(84, 117)
(186, 34)
(98, 84)
(66, 98)
(127, 107)
(75, 118)
(141, 137)
(126, 71)
(120, 134)
(36, 78)
(28, 74)
(145, 127)
(121, 130)
(57, 119)
(30, 43)
(144, 81)
(30, 90)
(191, 48)
(131, 129)
(92, 30)
(129, 95)
(78, 88)
(66, 120)
(35, 42)
(208, 81)
(111, 128)
(95, 148)
(194, 140)
(166, 142)
(104, 143)
(163, 75)
(50, 126)
(42, 132)
(152, 87)
(183, 113)
(181, 44)
(106, 32)
(33, 127)
(150, 66)
(175, 85)
(185, 34)
(136, 43)
(75, 132)
(65, 101)
(72, 102)
(94, 103)
(77, 137)
(25, 115)
(79, 142)
(155, 123)
(211, 118)
(121, 105)
(68, 43)
(146, 131)
(44, 41)
(156, 24)
(50, 100)
(56, 143)
(180, 46)
(111, 54)
(172, 147)
(57, 136)
(162, 27)
(116, 69)
(122, 59)
(55, 127)
(96, 104)
(45, 44)
(182, 90)
(190, 122)
(204, 127)
(174, 96)
(209, 104)
(87, 37)
(141, 120)
(58, 148)
(74, 65)
(180, 33)
(71, 75)
(135, 106)
(177, 50)
(78, 76)
(79, 146)
(114, 111)
(94, 54)
(142, 76)
(41, 83)
(120, 118)
(172, 127)
(153, 47)
(125, 148)
(98, 59)
(119, 30)
(82, 91)
(209, 63)
(211, 82)
(215, 98)
(177, 84)
(120, 62)
(28, 104)
(207, 88)
(213, 133)
(190, 111)
(157, 28)
(91, 58)
(92, 120)
(114, 43)
(32, 58)
(89, 143)
(121, 92)
(95, 38)
(55, 61)
(183, 81)
(206, 107)
(73, 148)
(206, 84)
(109, 81)
(80, 112)
(54, 38)
(111, 88)
(138, 109)
(56, 81)
(78, 27)
(214, 50)
(173, 36)
(137, 51)
(184, 32)
(115, 138)
(150, 92)
(169, 39)
(55, 60)
(209, 64)
(129, 90)
(177, 108)
(36, 49)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
(-1, -1)
